,value,metric,type
0,0.1580073936988436,ade,ml
1,0.05788715346484992,ade,ml
2,0.021142743782680284,ade,ml
3,0.057756781765178546,ade,ml
4,0.3819438815740386,ade,ml
5,0.16235109816022728,ade,ml
6,0.11962457120699563,ade,ml
7,0.14068733902777938,ade,ml
8,0.17390238753759518,ade,ml
9,0.14499625816218256,ade,ml
10,0.019291726487113168,ade,ml
11,0.02663700583526022,ade,ml
12,0.1856902053501739,ade,ml
13,0.14681910469917284,ade,ml
14,0.042255956812963374,ade,ml
15,0.14859164113728368,ade,ml
16,0.03922436793530085,ade,ml
17,0.2775198015587888,ade,ml
18,0.3487348207055634,ade,ml
19,0.08451750624857149,ade,ml
20,0.026130942245448242,ade,ml
21,0.0500188081850192,ade,ml
22,0.0634457740672333,ade,ml
23,0.13918795597112843,ade,ml
24,0.115617841017224,ade,ml
25,0.12895874468283322,ade,ml
26,0.07466469904372165,ade,ml
27,0.13185685699602853,ade,ml
28,0.2954887313745739,ade,ml
29,0.23805407887396748,ade,ml
30,0.02423956882277495,ade,ml
31,0.0482612846562938,ade,ml
32,0.11674132441739651,ade,ml
33,0.13075782020067592,ade,ml
34,0.12572872575413233,ade,ml
35,0.03633365983475201,ade,ml
36,0.026636449382252896,ade,ml
37,0.2497517434315146,ade,ml
38,0.2622011456275526,ade,ml
39,0.054360218713306624,ade,ml
40,0.02232879125623156,ade,ml
41,0.042497930988198346,ade,ml
42,0.2028094209380063,ade,ml
43,0.1552023106554414,ade,ml
44,0.23431783921595178,ade,ml
45,0.09154466788327746,ade,ml
46,0.059768802687125346,ade,ml
47,0.04933602955801531,ade,ml
48,0.04931438462442964,ade,ml
49,0.16306834442124224,ade,ml
50,0.15991265114191708,ade,ml
51,0.1544670707905897,ade,ml
52,0.19860654517337345,ade,ml
53,0.41512192052923536,ade,ml
54,0.07497586943638,ade,ml
55,0.019970099194641242,ade,ml
56,0.21946148429195517,ade,ml
57,0.047123376026874594,ade,ml
58,0.4504954682948791,ade,ml
59,0.0679297629370289,ade,ml
60,0.1466194276305431,ade,ml
61,0.09218502670617988,ade,ml
62,0.08337047567041439,ade,ml
63,0.33943725446815887,ade,ml
64,0.02633708101856764,ade,ml
65,0.22803504472285807,ade,ml
66,0.05560574287187936,ade,ml
67,0.24599521480541361,ade,ml
68,0.06768199888668643,ade,ml
69,0.17225528387011257,ade,ml
70,0.33131126896680024,ade,ml
71,0.10879644721847695,ade,ml
72,0.13592434901777006,ade,ml
73,0.035115596492234176,ade,ml
74,0.23459109027248015,ade,ml
75,0.09565785197146406,ade,ml
76,0.40715533623910605,ade,ml
77,0.020988183799891168,ade,ml
78,0.11619612257458602,ade,ml
79,0.3022241307597418,ade,ml
80,0.03929038734752932,ade,ml
81,0.22921712213554005,ade,ml
82,0.08496808253202477,ade,ml
83,0.1879947047581857,ade,ml
84,0.13264466971823638,ade,ml
85,0.3557915521794709,ade,ml
86,0.017342317921738702,ade,ml
87,0.12916793994320663,ade,ml
88,0.1881929151650293,ade,ml
89,0.0353087422164288,ade,ml
90,0.03836493040686163,ade,ml
91,0.2057062374982165,ade,ml
92,0.07463054712406363,ade,ml
93,0.20296277796193635,ade,ml
94,0.509344657636701,ade,ml
95,0.01591410191029705,ade,ml
96,0.20649983632232316,ade,ml
97,0.10008716428837054,ade,ml
98,0.10078944101859799,ade,ml
99,0.14327236478734115,ade,ml
100,0.0753478455023318,ade,ml
101,0.08699988553998823,ade,ml
102,0.09231850579726757,ade,ml
103,0.280166340951845,ade,ml
104,0.022030333944991494,ade,ml
105,0.04662197009886084,ade,ml
106,0.3110206438132056,ade,ml
107,0.017359821688790463,ade,ml
108,0.05698491445741768,ade,ml
109,0.06796449109737385,ade,ml
110,0.12054536629991361,ade,ml
111,0.09491313328767917,ade,ml
112,0.14317000108117653,ade,ml
113,0.03381475152584839,ade,ml
114,0.09482302465328654,ade,ml
115,0.12076563060168945,ade,ml
116,0.026888070056903014,ade,ml
117,0.11773094799678151,ade,ml
118,0.062067754802682604,ade,ml
119,0.26912382931756024,ade,ml
120,0.10194361594247289,ade,ml
121,0.2645733088373973,ade,ml
122,0.03455446520439278,ade,ml
123,0.21178270850092368,ade,ml
124,0.044939741814478226,ade,ml
125,0.027252092614273873,ade,ml
126,0.25021484570263103,ade,ml
127,0.06233129368248676,ade,ml
128,0.10219491296184627,ade,ml
129,0.08807721281899814,ade,ml
130,0.30391650338449816,ade,ml
131,0.035433282024863566,ade,ml
132,0.09395111615413665,ade,ml
133,0.11073105539038613,ade,ml
134,0.04155485002639298,ade,ml
135,0.25275321337890017,ade,ml
136,0.06145225768219567,ade,ml
137,0.15044262834007693,ade,ml
138,0.1149973869508234,ade,ml
139,0.05205031249366106,ade,ml
140,0.04650265463559185,ade,ml
141,0.06704996500412613,ade,ml
142,0.07248712529925655,ade,ml
143,0.009759435993675365,ade,ml
144,0.09693673797590913,ade,ml
145,0.19674480950172202,ade,ml
146,0.120393500906192,ade,ml
147,0.14725026518952142,ade,ml
148,0.19850009559984216,ade,ml
149,0.11284822465256994,ade,ml
150,0.108209551607343,ade,ml
151,0.05226961860105181,ade,ml
152,0.0282890094257109,ade,ml
153,0.12821474007034395,ade,ml
154,0.059511895842289345,ade,ml
155,0.05633647940712398,ade,ml
156,0.10447465197208881,ade,ml
157,0.10769366811376938,ade,ml
158,0.0650692377525662,ade,ml
159,0.15175494002057321,ade,ml
160,0.37835616383592585,ade,ml
161,0.16208907751294868,ade,ml
162,0.11713438835494458,ade,ml
163,0.08838168720062249,ade,ml
164,0.029639891775276317,ade,ml
165,0.039775493666136405,ade,ml
166,0.06507873240436568,ade,ml
167,0.16587052089828533,ade,ml
168,0.2471658461757223,ade,ml
169,0.05098582132361934,ade,ml
170,0.06507151312973933,ade,ml
171,0.19805770777212553,ade,ml
172,0.1402249265112206,ade,ml
173,0.4788342974758386,ade,ml
174,0.12431564058844116,ade,ml
175,0.12947010784780963,ade,ml
176,0.032846516559260616,ade,ml
177,0.04890307928901243,ade,ml
178,0.06429067941955041,ade,ml
179,0.0881470266322819,ade,ml
180,0.06616385078612075,ade,ml
181,0.046269381950130924,ade,ml
182,0.06456400993640163,ade,ml
183,0.24552199768445912,ade,ml
184,0.02290465142580305,ade,ml
185,0.05561960755558777,ade,ml
186,0.1256408408610661,ade,ml
