,value,metric,type
0,-1.6929901201563633,kde,full
1,-3.172431690336347,kde,full
2,-3.496894015353514,kde,full
3,-3.856455593075909,kde,full
4,1.7849235554732539,kde,full
5,-0.5528367400156897,kde,full
6,-1.5420148773471234,kde,full
7,-1.073397941743458,kde,full
8,-0.6166569725180197,kde,full
9,-0.6918379272383868,kde,full
10,-3.741605361885457,kde,full
11,-3.692476955524514,kde,full
12,0.20838075362676955,kde,full
13,-1.202617804509262,kde,full
14,-3.531995743209551,kde,full
15,-0.6362619495073161,kde,full
16,-2.687724856674475,kde,full
17,1.4153753377382583,kde,full
18,18.639046405694813,kde,full
19,-2.7015353810929135,kde,full
20,-3.715393216113225,kde,full
21,-3.009625772871763,kde,full
22,-3.0086299413089446,kde,full
23,-0.21283987199835763,kde,full
24,-1.9091183671630783,kde,full
25,-1.272076422897343,kde,full
26,-2.8787577068654606,kde,full
27,-1.433368131735018,kde,full
28,7.04920296292201,kde,full
29,1.500033109300765,kde,full
30,-3.7905902095580704,kde,full
31,-3.0943926260869477,kde,full
32,-2.3091137384791347,kde,full
33,-0.39228336708752076,kde,full
34,-1.632576956880313,kde,full
35,-2.673827693710966,kde,full
36,-3.7884247209812223,kde,full
37,0.5590599783546478,kde,full
38,1.6924493173208366,kde,full
39,-3.277136002957792,kde,full
40,-3.837272227061306,kde,full
41,-3.314170711141287,kde,full
42,2.03593394651532,kde,full
43,-0.7464146345618616,kde,full
44,0.5497185917363407,kde,full
45,-1.9211062110240555,kde,full
46,-2.9321070130715454,kde,full
47,-3.0976348928313584,kde,full
48,-3.29475842921779,kde,full
49,-1.1881207053998617,kde,full
50,-0.9069640754416273,kde,full
51,-1.638167729696695,kde,full
52,0.7432487526531432,kde,full
53,16.67007287879071,kde,full
54,-1.5875132623385533,kde,full
55,-3.815784332414623,kde,full
56,-0.3486727667722016,kde,full
57,-3.299699921294552,kde,full
58,8.066181467020076,kde,full
59,-2.943169616680839,kde,full
60,-2.1512139235076013,kde,full
61,-2.4739747599623065,kde,full
62,-2.7997806572074886,kde,full
63,0.9413391646161792,kde,full
64,-3.735211456984391,kde,full
65,-0.2166779670718857,kde,full
66,-3.2348893938086247,kde,full
67,-1.5082805745171093,kde,full
68,-2.962971852840475,kde,full
69,-1.1512836645592996,kde,full
70,3.5462791611811646,kde,full
71,-2.732778901287087,kde,full
72,-2.1695810211098108,kde,full
73,-3.6737273560813195,kde,full
74,0.2852791746211877,kde,full
75,-2.3994071694562584,kde,full
76,10.00838197406063,kde,full
77,-3.6072887138407586,kde,full
78,-1.7228645230034303,kde,full
79,1.6315899255212503,kde,full
80,-3.475218666670944,kde,full
81,-0.9893669237414223,kde,full
82,-2.4127953810586593,kde,full
83,0.4512027127060953,kde,full
84,-1.754996921932564,kde,full
85,10.79250735072984,kde,full
86,-3.5283818320183813,kde,full
87,-1.2729085627436056,kde,full
88,0.1716908570628155,kde,full
89,-3.6305953940097444,kde,full
90,-2.688908987726187,kde,full
91,0.8189225274964961,kde,full
92,-2.7754490709386763,kde,full
93,0.004445802606007576,kde,full
94,16.591498501972723,kde,full
95,-3.6840150464655292,kde,full
96,1.0516149612369767,kde,full
97,-2.0871417133544905,kde,full
98,-2.162434446155897,kde,full
99,-0.5242020160982963,kde,full
100,-2.787584343154132,kde,full
101,-2.4565997035945557,kde,full
102,-2.4251529894512918,kde,full
103,2.372680857413638,kde,full
104,-3.591761139011892,kde,full
105,-3.4918007239379945,kde,full
106,8.893496244027684,kde,full
107,-3.731132359396658,kde,full
108,-2.525281320394977,kde,full
109,-2.9334582817478214,kde,full
110,-1.8261046386272828,kde,full
111,-2.4558774696985424,kde,full
112,-1.7324866460753634,kde,full
113,-3.5068282345142894,kde,full
114,-2.6412926749657837,kde,full
115,-2.1215694284052784,kde,full
116,-3.5815091192267747,kde,full
117,-1.723690932812968,kde,full
118,-3.0467343469372814,kde,full
119,2.176909559075744,kde,full
120,-2.3613476940444285,kde,full
121,0.6633638902742516,kde,full
122,-3.4199011910987953,kde,full
123,0.9582799657645181,kde,full
124,-3.239855593167481,kde,full
125,-3.5155288777096474,kde,full
126,0.8312071938296788,kde,full
127,-3.1134768055703432,kde,full
128,-2.185739349999748,kde,full
129,-2.4438891417006223,kde,full
130,0.6037465619411291,kde,full
131,-3.5421558330111136,kde,full
132,-2.496728297456429,kde,full
133,-2.5101660997888158,kde,full
134,-3.2652920106247088,kde,full
135,1.1152545585620748,kde,full
136,-3.2369291463947807,kde,full
137,-1.1739381512272846,kde,full
138,-2.1403289069001215,kde,full
139,-3.043530653040336,kde,full
140,-3.671250873986902,kde,full
141,-3.0633044588362646,kde,full
142,-2.5696812343474646,kde,full
143,-3.8391579014288384,kde,full
144,-2.134592465292572,kde,full
145,0.7421858651627118,kde,full
146,-1.3855821059438456,kde,full
147,-1.3739876182279969,kde,full
148,-0.7006886366478139,kde,full
149,-1.5610977467249965,kde,full
150,-2.2514231154968805,kde,full
151,-2.993675732197209,kde,full
152,-3.7561693420994016,kde,full
153,-1.7670242075398073,kde,full
154,-3.2442227731629716,kde,full
155,-3.251289968861517,kde,full
